"time","temp","temp.min","temp.max"
2013-06-13 23:00:00,17.96,16.11,20
2013-06-14 00:00:00,21.28,18.89,23.89
2013-06-14 02:00:00,22,20,23.89
2013-06-14 03:00:00,21.99,20,23.89
2013-06-14 04:00:00,21.92,20,23.89
2013-06-14 05:00:00,22,20.56,23.33
2013-06-14 06:00:00,21.91,20.56,22.78
2013-06-14 07:00:00,20.48,19.44,21.67
2013-06-14 08:00:00,18.73,17.78,20
2013-06-14 09:00:00,18.22,16.67,20
2013-06-14 10:00:00,17.49,15.56,19.44
2013-06-14 11:00:00,16.23,13.89,18.33
2013-06-14 12:00:00,16.52,15,17.78
2013-06-14 13:00:00,16.41,15,18.33
2013-06-14 14:00:00,15.94,13.89,17.78
2013-06-14 15:00:00,15.73,13.89,17.78
2013-06-14 16:00:00,15.3,13.89,16.11
2013-06-14 17:00:00,14.86,13.33,16
2013-06-14 18:00:00,14.19,12.78,15
2013-06-14 19:00:00,13.78,12.78,14.44
2013-06-14 20:00:00,13.36,12.22,14
2013-06-14 21:00:00,13.1,11.67,14
2013-06-14 22:00:00,14.03,13.33,15
2013-06-14 23:00:00,15.63,15,17
2013-06-15 00:00:00,17.3,16.11,18
2013-06-15 01:00:00,18.13,17.78,18.89
2013-06-15 02:00:00,19.13,18.89,19.44
2013-06-15 03:00:00,19.73,18.89,20
2013-06-15 04:00:00,20.26,19.44,21
2013-06-15 05:00:00,19.73,19.44,20
2013-06-15 06:00:00,19.01,18.33,20
2013-06-15 07:00:00,18.1,17.22,19
2013-06-15 08:00:00,16.44,15.56,17.22
2013-06-15 09:00:00,15.65,15,16.67
2013-06-15 10:00:00,14.99,13.89,16
2013-06-15 11:00:00,14.59,13.33,15.56
2013-06-15 12:00:00,14.47,12.78,16
2013-06-15 13:00:00,13.59,12.22,15
2013-06-15 14:00:00,13.06,12.22,14
2013-06-15 15:00:00,12.68,12.22,13.33
2013-06-15 16:00:00,12.3,11.67,13.33
2013-06-15 17:00:00,12.01,11.11,13.33
2013-06-15 18:00:00,11.75,10.56,12.78
2013-06-15 19:00:00,11.26,10,12.78
2013-06-15 20:00:00,11.08,10.56,11.67
2013-06-15 21:00:00,10.91,10,11.67
2013-06-15 22:00:00,12.55,12.22,13
2013-06-15 23:00:00,14.05,13.89,14.44
2013-06-16 00:00:00,15.95,15.56,16.11
2013-06-16 01:00:00,17.61,17,18.33
2013-06-16 02:00:00,18.52,18,18.89
2013-06-16 03:00:00,18.8,17.78,19.44
2013-06-16 04:00:00,18.8,17.78,19.44
2013-06-16 05:00:00,18.41,17.22,19
2013-06-16 06:00:00,17.27,16.67,18
2013-06-16 07:00:00,16.6,15.56,18
2013-06-16 08:00:00,14.98,14.44,16.11
2013-06-16 09:00:00,14.56,13.89,15.56
2013-06-16 10:00:00,13.77,13.33,14.44
2013-06-16 11:00:00,13.5,12.22,14.44
2013-06-16 12:00:00,13.06,11.67,14.44
2013-06-16 13:00:00,11.92,11,13.33
2013-06-16 14:00:00,11.64,10.56,12.78
2013-06-16 15:00:00,11.08,10,12.22
2013-06-16 16:00:00,10.54,9.44,12.22
2013-06-16 17:00:00,10.41,9.44,11.67
2013-06-16 18:00:00,10.67,9.44,11.67
2013-06-16 19:00:00,10.14,8.89000000000004,11.67
2013-06-16 20:00:00,10.27,9.44,11.67
2013-06-16 21:00:00,10.02,9,11.67
2013-06-16 22:00:00,11.36,11,11.67
2013-06-16 23:00:00,12.85,12.78,13
2013-06-17 00:00:00,15.46,14,17.22
2013-06-17 01:00:00,18.25,17.22,19.44
2013-06-17 02:00:00,19.05,18.89,19.44
2013-06-17 03:00:00,19.71,19.44,20
2013-06-17 04:00:00,19.59,18.89,20
2013-06-17 05:00:00,19.45,18.89,20
2013-06-17 06:00:00,18.65,18.33,19
2013-06-17 07:00:00,17.36,16.67,18.33
2013-06-17 08:00:00,15.78,14.44,17.78
2013-06-17 09:00:00,14.12,13,16.67
2013-06-17 10:00:00,13.21,12.22,15
2013-06-17 11:00:00,12.38,11.11,14
2013-06-17 12:00:00,11.17,10,13
2013-06-17 13:00:00,10.8,10,11.67
2013-06-17 14:00:00,10.81,10,11.67
2013-06-17 15:00:00,10.41,9.44,11.67
2013-06-17 16:00:00,10.35,9.44,11.67
2013-06-17 17:00:00,9.76000000000005,8.89000000000004,11.11
2013-06-17 18:00:00,9.60000000000002,8.89000000000004,11.11
2013-06-17 19:00:00,8.91000000000003,8,10.56
2013-06-17 20:00:00,8.91000000000003,7.22000000000003,10.56
2013-06-17 21:00:00,8.44,6.67000000000002,10.56
2013-06-17 22:00:00,8.88,8,10
2013-06-17 23:00:00,12.39,12.22,12.78
2013-06-18 00:00:00,14.64,12.78,16.11
2013-06-18 01:00:00,16.31,15.56,17
2013-06-18 02:00:00,17.83,17.78,18
