"time","temp","temp.min","temp.max"
2013-06-13 23:00:00,12.66,8.89000000000004,16.11
2013-06-14 00:00:00,15.9,12.22,20
2013-06-14 02:00:00,18.44,16.11,20
2013-06-14 03:00:00,18.68,16.67,20.56
2013-06-14 04:00:00,19.41,17.78,22.22
2013-06-14 05:00:00,19.1,17.78,22.22
2013-06-14 06:00:00,17.83,15.56,21
2013-06-14 07:00:00,16.58,15,18.33
2013-06-14 08:00:00,15.46,13.33,17.22
2013-06-14 09:00:00,14.5700000000001,12.22,17.22
2013-06-14 10:00:00,14.13,11.67,16.11
2013-06-14 11:00:00,13.63,11.11,16.11
2013-06-14 12:00:00,13.13,10.56,15
2013-06-14 13:00:00,12.81,10.56,15
2013-06-14 14:00:00,11.96,10,14
2013-06-14 15:00:00,11.8200000000001,10.56,13
2013-06-14 16:00:00,11.18,7.78000000000003,13
2013-06-14 17:00:00,10.54,7.22000000000003,12.22
2013-06-14 18:00:00,10.2,6.67000000000002,12
2013-06-14 19:00:00,9.76000000000005,6.67000000000002,11.67
2013-06-14 20:00:00,9.05000000000001,6.11000000000001,11.11
2013-06-14 21:00:00,10.08,6.11000000000001,13
2013-06-14 22:00:00,10.84,7.22000000000003,14
2013-06-14 23:00:00,13.3200000000001,10,15
2013-06-15 00:00:00,14.95,12.78,16.11
2013-06-15 01:00:00,16.92,15,18
2013-06-15 02:00:00,18,16.67,19
2013-06-15 03:00:00,18.55,17.78,19
2013-06-15 04:00:00,18.9,17.78,20
2013-06-15 05:00:00,18,16.67,19
2013-06-15 06:00:00,17.29,16.11,18
2013-06-15 07:00:00,16.22,15,17
2013-06-15 08:00:00,16.04,15,17
2013-06-15 09:00:00,15.2,14.44,16
2013-06-15 10:00:00,14.85,13.89,16
2013-06-15 11:00:00,14.33,12.78,16
2013-06-15 12:00:00,13.96,13.33,15
2013-06-15 13:00:00,13.9,12.78,15
2013-06-15 14:00:00,14.11,13.89,14.44
2013-06-15 15:00:00,14.26,13.33,15
2013-06-15 16:00:00,13.9,12.78,15
2013-06-15 17:00:00,13.92,13.33,14.44
2013-06-15 18:00:00,13.74,13.33,14
2013-06-15 19:00:00,13.03,12.78,13.33
2013-06-15 20:00:00,13.03,12.78,13.33
2013-06-15 21:00:00,13.53,12.22,15
2013-06-15 22:00:00,12.84,12.22,13.33
2013-06-15 23:00:00,13.72,13,15
2013-06-16 00:00:00,15.14,14,16.67
2013-06-16 01:00:00,16.44,15.56,17.78
2013-06-16 02:00:00,17.48,17,18.33
2013-06-16 03:00:00,17.15,16.67,17.78
2013-06-16 04:00:00,17.53,17,17.78
2013-06-16 05:00:00,17.69,17.22,18
2013-06-16 06:00:00,17.49,17.22,18
2013-06-16 07:00:00,16.99,16.11,18
2013-06-16 08:00:00,15.52,14.44,16.11
2013-06-16 09:00:00,15.33,13.89,16.11
2013-06-16 10:00:00,14.44,13.33,15
2013-06-16 11:00:00,13.95,11.67,15
2013-06-16 12:00:00,12.99,10,15
2013-06-16 13:00:00,13.18,11.11,14.44
2013-06-16 14:00:00,12.87,10,14.44
2013-06-16 15:00:00,11.73,8.33000000000004,13.89
2013-06-16 16:00:00,11.63,8.89000000000004,13
2013-06-16 17:00:00,10.91,7.78000000000003,12.78
2013-06-16 18:00:00,9.92000000000002,6.67000000000002,12.22
2013-06-16 19:00:00,9.99000000000001,8.33000000000004,11.67
2013-06-16 20:00:00,10.15,8.33000000000004,11.11
2013-06-16 21:00:00,9.59000000000003,6.67000000000002,11.11
2013-06-16 22:00:00,9.96000000000004,7.22000000000003,11.67
2013-06-16 23:00:00,11.43,9.44,13.89
2013-06-17 00:00:00,13.37,12.22,15.56
2013-06-17 01:00:00,15.27,14.44,16.67
2013-06-17 02:00:00,16.08,15.56,16.67
2013-06-17 03:00:00,16.66,16,17.78
2013-06-17 04:00:00,17.51,16,20
2013-06-17 05:00:00,17.67,16,21.11
2013-06-17 06:00:00,17.13,15.56,20.56
2013-06-17 07:00:00,17.3,14.44,23.33
2013-06-17 08:00:00,14.62,13.33,16.67
2013-06-17 09:00:00,13.46,11.67,15.56
2013-06-17 10:00:00,12.01,10,14
2013-06-17 11:00:00,10.8200000000001,8.33000000000004,13
2013-06-17 12:00:00,10.3,7.22000000000003,12
2013-06-17 13:00:00,9.78000000000003,6.67000000000002,11.67
2013-06-17 14:00:00,9.66000000000003,6.11000000000001,11.67
2013-06-17 15:00:00,8.97000000000003,5,11
2013-06-17 16:00:00,8.52000000000004,5.56,10
2013-06-17 17:00:00,8.34000000000003,5.56,10
2013-06-17 18:00:00,7.82000000000005,5.56,9
2013-06-17 19:00:00,7.70000000000005,5.56,9
2013-06-17 20:00:00,7.63,5.56,9
2013-06-17 21:00:00,8.18000000000001,6.67000000000002,9
2013-06-17 22:00:00,9.27000000000004,8.89000000000004,10
2013-06-17 23:00:00,12.49,11.67,13.33
2013-06-18 00:00:00,13.4,13,13.89
2013-06-18 01:00:00,15,15,15
2013-06-18 02:00:00,15.71,15.56,16
